FI	FI_Name
FI_101	FEDERAL NATIONAL MORTGAGE
FI_242	"SACO I, INC."
FI_110	FIRST HORIZON HOME LOAN
FI_197	NOTWITHSTANDING ANY OTHER
FI_255	"SOUTHSTAR FUNDING, LLC"
FI_295	UBS
FI_303	WACHOVIA
FI_311	WMC MORTGAGE CORP.
FI_107	FINANCIAL ASSETS CORP
FI_129	GREENWICH CAPITAL MARKETS
FI_134	HOME LOAN SERVICES INC.
FI_210	OPTION ONE
FI_183	NATIONSTAR MORTGAGE
FI_231	RATE CAP
FI_272	THE INTEREST
FI_117	FIRST TENNESSEE
FI_51	CASTLEOAK SECURITIES
FI_307	WEYERHAEUSER MORTGAGE
FI_198	NOVASTAR
FI_9	AEGIS
FI_64	CITY NATIONAL BANK
FI_33	BANC OF AMERICA SEC.
FI_165	MAIA MORTGAGE FINANCE
FI_138	HOMEEQ SERVICING
FI_190	NEWCASTLE INVESTMENT CORP
FI_105	FIFTH THIRD BANK
FI_28	ASSET BACKED FUNDING
FI_43	BICEP OWNER TRUST
FI_89	EQUICON CORPORATION
FI_188	NEW CENTURY
FI_248	SAXON MORTGAGE SERVICES
FI_249	SECURITIZED ASSET BACKED
FI_132	HEMISPHERE NATIONAL BANK
FI_177	MORGAN STANLEY
FI_173	METROPOLITAN COMPANIES
FI_181	NATIONAL CITY
FI_229	PUBLIC
FI_50	CARRINGTON
FI_218	PEOPLES CHOICE HOME LOAN
FI_260	STANWICH ASSET ACCEPTANCE
FI_61	CIT GROUP
FI_96	FANNIE MAE CERTIFICATES
FI_59	CHEVY CHASE BANK
FI_47	CALIBER HOME LOANS INC.
FI_8	ACE SECURITIES
FI_122	FREMONT FINANCIAL CORP
FI_136	HOMEBANC CORP.
FI_91	"EQUITY ONE, INC."
FI_163	LYDIAN
FI_45	BNP PARIBAS SA
FI_12	AIG
FI_10	AFFECTING SPS
FI_250	SELECT PORTFOLIO INC.
FI_7	ACCRUED INTEREST
FI_235	"REPUBLIC BANK, INC."
FI_289	TO PUBLIC
FI_227	PROVIDENT BANK
FI_146	IMPAC
FI_49	CAMBRIDGE MORTGAGE CORP.
FI_168	MBIA
FI_167	"MASTER FINANCIAL, INC."
FI_143	II
FI_236	RESMAE
FI_219	PHH CORP
FI_6	ACCREDITED HOME LENDERS
FI_98	"FBR GROUP, INC."
FI_88	ENCORE CREDIT CORPORATION
FI_179	MORTGAGEIT
FI_199	NOVUS FINANCIAL CORP.
FI_276	THIRD FEDERAL SAVINGS
FI_27	ARGENT
FI_240	"RWT HOLDINGS, INC."
FI_267	TEACHERS INSURANCE
FI_193	NOMURA SECURITIES CO.
FI_194	NOMURA SECURITIES INC.
FI_213	OWNIT
FI_185	NAVY FEDERAL CREDIT UNION
FI_305	WATERFIELD MORTGAGE INC.
FI_209	OPTION ONE MORTGAGE CORP
FI_127	GOLDMAN SACHS & CO.
FI_86	ELLINGTON LOAN ACQ 2007-1
FI_259	SPECIALTY
FI_159	LITTON LOAN SERVICING LP
FI_115	FIRST NLC FINANCIAL SERVICES
FI_288	TO INTEREST
FI_40	BAYVIEW LENDING GROUP
FI_164	M&T BANK
FI_207	"OLYMPUS SERVICING, L.P."
FI_113	1st Nat. BANK OF KEYSTONE
FI_25	AMORTIZING RESIDENTIAL
FI_257	SOVEREIGN BANK
FI_78	DECISION ONE
FI_2	AAMES CAPITAL CORPORATION
FI_15	ALS
FI_32	AVELO MORTGAGE LLC
FI_46	BOSTON SERVICE COMPANY
FI_111	FIRST NATIONAL FINANCIAL
FI_278	THROUGH CERTIFICATES
FI_170	MERITAGE MORTGAGE CORP
FI_290	TOWN & COUNTRY
FI_90	EQUIFIRST CORP
FI_264	SUTTON FUNDING LLC
FI_224	POOL GENERAL
FI_54	CENTEX
FI_150	IRWIN HOME EQUITY CORP.
FI_151	IRWIN UNION BANK & TRUST
FI_297	UNITED COMPANIES LENDING
FI_208	OPTEUM FINANCIAL SERVICES
FI_256	SOUTHTRUST
FI_84	DOWNEY SAVINGS & LOAN
FI_126	GMAC
FI_77	CSFC
FI_158	LIBERTY LENDING SERVICES
FI_258	SPECIALIZED LOAN SERVICIN
FI_228	PROVIDENT FUNDING ASSOC.
FI_192	NIC WL LLC
FI_265	TABERNA CAPITAL MANAG.
FI_195	NORTH AMERICAN MORTGAGE
FI_135	HOME STAR MORTGAGE SERVI.
FI_69	"COMFED SAVINGS BANK, F.A."
FI_19	AMERICAN HONDA FINANCE
FI_156	LAKE COUNTY SECURITIZATI
FI_149	INTEREST
FI_94	EVERHOME MORTGAGE COMPANY
FI_56	CERTIFICATES INTEREST
FI_124	GE CAPITAL
FI_21	AMERICREDIT FINANCIAL
FI_161	LSI FINANCIAL GROUP
FI_176	MILA
FI_118	"FLAGSTAR BANK, FSB"
FI_148	INTERBAY
FI_13	ALESCO FINANCIAL INC.
FI_144	III
FI_26	ANY OTHER
FI_277	THORNBURG MORTGAGE HOME
FI_103	FIDELITY
FI_287	TO CLASS
FI_162	LUMINENT MORTGAGE CAP.
FI_302	UTENDAHL CAPITAL PARTNERS
FI_58	CHASE MORTGAGE FINANCE
FI_37	BANKUNITED
FI_11	AGREEMENT GENERAL
FI_119	FOLLOWING CPR
FI_215	PACE FUNDING CO.
FI_273	THE OFFERED
FI_269	THE BOND
FI_221	PLACEMENT
FI_281	THROUGH CERT SER 2006-HE1
FI_298	UNIVERSAL MASTER SERVICIN
FI_70	CONTIFINANCIAL SERVICES
FI_247	SANDLER O'NEILL
FI_29	"ASSISTANCE ENTERPRISE, LLC"
FI_280	THROUGH CERT SER 2006-FM3
FI_85	ECC CAPITAL CORP.
FI_189	NEW YORK MORTGAGE FUND.
FI_261	STATE STREET
FI_139	HOMESTAR
FI_253	SERIES OOMC 2006-HE3
FI_182	NATIONAL MORTGAGE
FI_211	ORIGINATION
FI_238	RFMSI SERIES 2007-S
FI_284	THROUGH CERT SER 2006-HE7
FI_5	ACC CONSUMER FINANCE CORP
FI_55	CENTRAL MORTGAGE COMPANY
FI_205	OHIO CO.
FI_83	DOVENMUEHLE MORTGAGE INC.
FI_243	SAFE DEPOSIT
FI_271	THE GRANTOR
FI_100	FEDERAL HOME LOAN MORT.
FI_191	NEXSTAR FINANCIAL CORP
FI_283	THROUGH CERT SER 2006-HE4
FI_204	OFFERED CERTIFICATES
FI_81	DHI MORTGAGE
FI_268	TERWIN
FI_116	FIRST REPUBLIC
FI_155	KKR FINANCIAL ADVISORS
FI_245	SALOMON BROTHERS INC.
FI_17	AMERICAN BUSINESS CREDIT
FI_296	UNION FEDERAL SAVING BANK
FI_44	BISHOP
FI_154	KEYBANK
FI_201	NY
FI_244	"SALES FINANCING, INC."
FI_68	COLUMBIA NATIONAL
FI_214	P PUBLIC
FI_292	TYPE MOODY'S
FI_121	FREDDIE MAC
FI_133	HOME LOAN AND INVES. BANK
FI_251	SENDERRA
FI_200	NOW INC.
FI_123	FUND AMERICA
FI_252	SERIES OOMC 2005-HE6
FI_112	FIRST NATIONAL
FI_241	S GENERAL
FI_166	MANDALAY
FI_60	CHIMERA INVESTMENT CORP.
FI_220	PHHMC 2008-CIM
FI_120	FRANKLIN CAPITAL CORP.
FI_145	IMC MORTGAGE COMPANY
FI_23	AMERIQUEST(R) SER 2006-R2
FI_233	RBS
FI_175	MIDLAND LOAN SERVICES INC
FI_246	SALOMON SMITH BARNEY
FI_223	PNC
FI_169	MERIT SECURITIES CORP
FI_217	PEOPLE
FI_206	OLYMPIC FINANCIAL LTD.
FI_174	MID-STATE
FI_24	AMNET
FI_184	NATIXIS BANK SA
FI_76	CSFB
FI_93	EVERBANK
FI_254	SOUTHERN PACIFIC MORTGAGE
FI_92	EQUIVANTAGE ACCEPTANCE
FI_52	CDC MORTGAGE CAPITAL INC.
FI_4	"ABS, INC."
FI_225	POPULAR FINANCIAL FUNDING
FI_152	IV
FI_48	CALMCO SERVICING
FI_286	TITLE
FI_114	1st Nat BANK OF NEVADA
FI_75	CSC
FI_1	A-I
FI_38	"BANKUNITED, F.S.B."
FI_42	BELVEDERE TRUST FINANCE
FI_172	METROCITIES
FI_299	US MORTGAGE
FI_180	N.A.
FI_212	OTHER EXPRESS
FI_66	CLASS UNDERWRITING
FI_102	FFC
FI_279	THROUGH CERT SER 2006-FF4
FI_239	RFMSI SERIES 2007-SA
FI_301	USAA FEDERAL SAVINGS BANK
FI_196	NOTES PHHMC 2008-CIM1
FI_237	RFMSI SERIES 2005-S
FI_275	THE PROSPECTUS
FI_282	THROUGH CERT SER 2006-HE3
FI_30	ASSOC. HOUSING FIN. SERV.
FI_67	"COLONIAL SAVINGS, F.A."
FI_285	THROUGH CERT SER 2007-HE1
FI_202	"OCEAN BANK, FSB"
FI_108	FINANCIAL FREEDOM SENIOR
FI_310	WINTER GROUP (THE)
FI_131	HAZARD
FI_99	FC CAPITAL CORP.
FI_97	FANNIE MAE
FI_65	CITYSCAPE CORP.
FI_187	NEILL
FI_232	RBC
FI_222	PMI
FI_16	ALTERNATIVE
FI_130	GROUPS III
FI_274	THE PMI
FI_216	PACIFICAMERICA MONEY Cent
